Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Industry PE,EPS,Promoter holding,Debt to equity,Debtor days,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,ROCE3yr avg,Return on capital employed,OPM,Profit after tax,Sales,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Average return on equity 5Years,Average return on equity 3Years,Return on equity,Return over 1year,Return over 3years,Return over 5years,Return on assets,Sales growth,Sales preceding year,Sales growth 7Years,Operating profit preceding year,Net Profit last year,Sales growth 10Years,Average Earnings 5Year,Free cash flow last year,Free cash flow preceding year,Net cash flow preceding year,Free cash flow 3years,Average return on capital employed 3Years,Average return on capital employed 5Years
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,427,3954.02,20.28,20.38,27.65,59.83,0.53,115.38,53,5.49,641.48,41.9,24.48,20.51,14.13,195,2251.17,15.68,15.64,-24.28,32.03,21.37,14.07,23.67,23.77,26.13,21.29,-41.73,45,28.16,10.62,17.56,1914.89,10.96,404.38,195,13.07,148,-88.49,79.75,-0.13,155.24,24.48,21.79
AAVAS Financiers,541988,AAVAS,Finance - Housing,2039.7,16105.64,45.14,20.56,45.2,39.2,2.85,0,115.67,32.03,365.03,26.13,9.84,9.51,73.21,356.8,1304.36,22.48,33.72,23.28,26.59,44.24,,,12.64,13.12,13.7,-18.98,12.04,,3.57,18.24,1103.17,,830.01,356.8,123.47,232.87,-1151.15,-1078.68,-328.33,-3421.49,9.84,10.04
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,18191.45,38656.83,48.4,32.24,,74.99,0.05,21.38,211.41,38.66,1255.02,14.56,36.36,38.38,22.11,798.7,4919.27,10.17,11.13,15.61,21.6,23.61,19.62,20.84,27.02,27.97,29.46,11.42,28.32,33.75,19.81,14.14,4310.02,11.55,921.71,798.7,12.68,585.69,903.82,703.56,73.13,2217.94,36.36,37.11
ACC,500410,ACC,Cement - North India,2135.4,40100.09,23.09,17.99,,54.53,0.01,11.05,396.31,-29.55,4426.54,3.14,18.07,19.2,17.02,1736.78,16286.24,2.95,8.01,-3.33,7.77,23.15,7.58,4.08,13.02,13.1,14.09,5.48,10.58,5.83,9.7,11.73,13785.98,4.78,2355.11,1862.99,4.75,1449.86,1682.15,1471.34,1356.83,4913.29,18.07,17.3
Acrysil,524091,ACRYSIL,Ceramics - Tiles / Sanitaryware,572.5,1528.28,23.6,23.6,,44.04,0.54,75.71,16.36,25.46,138.93,38.06,22.96,27.94,21.35,64.76,483.9,24.36,21.74,65.58,55.45,54.91,33.17,45.82,19.81,23.22,29.1,5.85,75.95,43.21,13.82,56.24,309.72,21.04,66.89,64.76,22.69,31.02,-21.49,9.5,1.81,-1.8,22.96,20.14
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,259.05,24306.56,,,-1.16,56.09,1.48,33.93,43.59,123.18,2282.83,25.32,1.86,3.11,13.52,-108.72,8136.22,0.08,,83.89,,,,,,-15.62,-3.94,24.6,6.46,7.18,-1.05,55.01,5248.92,,582.61,-108.72,,,632.05,945.28,-20.67,1909.08,1.86,
Advanced Enzyme,540025,ADVENZYMES,Chemicals,298.15,3333.51,27.88,23.06,10.7,52.7,0.03,60.82,24.43,-22.22,131.73,-1.12,20.45,16.33,38.05,119.58,529.38,8.06,9.98,-17.93,2.44,5.49,13.28,13.62,15.58,14.65,11.61,-27.95,15.46,-3.16,10.26,5.49,501.84,13.24,232.49,119.58,11.97,119.17,95.41,143.46,109.26,329.32,20.45,21.98
Aegis Logistics,500003,AEGISCHEM,Trading,228.2,8009.82,22.4,38.39,,58.07,0.38,58.19,94.75,44.81,2103.58,108.03,16.52,18.4,11.54,357.52,4630.98,-6.23,3.34,60.05,17.32,24.56,23.34,33.62,14.29,12.66,17.37,-40.07,1.3,2.33,10.88,20.49,3843.46,2.43,387.64,357.52,0.37,219.97,-130.28,82.86,74.35,-71.85,16.52,17.49
Affle India,542752,AFFLE,Computers - Software - Medium / Small,1002.75,13361.75,62.47,26.37,10.57,59.89,0.13,79.2,68.47,17.02,315.08,122.56,32.75,27.92,19.66,213.88,1081.66,63.08,,58.66,63.63,,,,,34.14,27.83,-4.17,,,16.65,109.31,516.78,,129.67,213.88,,98.17,133.44,52.34,-20.44,226.57,32.75,
AGI Greenpac,500187,AGI,Packaging,219.5,1420.11,7.35,12.21,,60.24,0.84,78.18,127.59,286.4,431.83,3.48,9.21,12.12,18.46,193.29,1430.43,-3.76,-7.14,114.86,151.57,12.99,9.26,5.9,6.34,8.66,14.72,-3.73,40.96,14.31,6.3,-22.79,1852.59,-3.36,284.23,193.29,0.87,84.35,-295.78,226.31,-21.2,-59.44,9.21,7.39
Agro Tech Foods.,500215,ATFL,Solvent Extraction,802.75,1956.3,85.5,37.49,10.61,51.77,0.11,31.6,6.32,182.46,212.68,-0.61,8.86,6.96,5.91,22.88,916.62,3.63,2.63,-26.26,-11.13,-1.69,-6.61,-4.57,7.69,6.77,5.09,-18.01,14.37,10.28,3.95,2.7,892.53,2.72,62.39,25.85,2.67,29.93,-59.78,11.33,6.6,-73.47,8.86,10.67
AIA Engineering,532683,AIAENG,Castings & Forgings,2095.75,19767.19,31.9,18.98,,58.47,0,81.89,194.61,45.74,1093.33,27.11,17.51,17.06,20.21,619.62,3566.55,5.13,9.69,14.76,8.91,6.51,5.48,13.13,14.49,14.26,13.77,6.74,4.65,9.25,12.54,23.77,2881.49,7.27,661.3,619.68,9.67,527.7,-164.54,475.39,313.68,859.16,17.51,18.21
Alembic Pharma,533573,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,731.65,14381.54,27.61,23.78,,69.61,0.12,55.52,35.46,-87.47,1415.74,10.57,19.95,11.08,16.48,520.93,5305.79,10.48,11.31,-54.36,-3.58,5.24,9.11,14.88,20.68,20.25,10.05,-27.27,13.54,5.88,7.53,-1.62,5393.13,14.5,1557.55,545.68,13.73,697.22,128.09,804.14,26.22,647.07,19.95,20.6
Alkyl Amines,506767,ALKYLAMINE,Chemicals,2645.15,13509.43,60.07,23.06,57.91,72.03,0.02,65.47,46.42,-49.87,425.64,11.39,42.57,33.02,21.16,224.89,1542.8,22.16,25.24,-24.08,39.05,34.87,25.67,29.34,32.92,35.41,25.24,-26.47,100.49,74.82,17.87,24.18,1242.44,18.28,430.3,224.89,18.28,171.78,-41.49,207.94,64.91,277.04,42.57,37.99
Allcargo Logist.,532749,ALLCARGO,Miscellaneous,309.65,7607.96,8.64,19.11,,69.92,0.73,57.62,246.85,552.85,5775.92,72.45,16.52,26.37,7.55,880.16,20072.07,42.79,29.16,669.51,56.41,31.76,20.74,12.29,14.54,16.86,32.33,116.77,41.3,11.98,10.74,91.2,10498.1,19.92,643.07,925.73,16.71,316.07,667.58,206.14,57.56,441.5,16.52,15.14
Amara Raja Batt.,500008,AMARAJABAT,Auto Ancillaries,494,8438.14,16.5,22.01,,28.06,0.03,33.27,98.54,-47.99,2180.7,3.71,19.96,15.7,11.76,511.25,8695.82,8.58,10.34,-19.74,1.97,1.69,3.21,9.05,15.48,15.21,11.67,-34.77,-7.54,-10.24,8.4,21.63,7149.68,10.92,1116.57,511.25,13.91,548.3,-126.8,305.65,64.13,655.89,19.96,21.28
Ambuja Cements,500425,AMBUJACEM,Cement - North India,365.15,72505.84,28.54,17.99,,63.19,0.02,8.14,658.87,-30.44,7900.04,2.4,19.26,22.14,19.88,2540.11,29150.69,3.61,7.59,-11.1,8.1,24.33,10.41,8.93,9.91,10.45,11.83,8.13,18.3,9.62,8.94,12.2,24516.17,16.48,5005.57,2780.38,13.06,2228.09,3012.82,3106.99,-441.17,9251.47,19.26,17.6
Apollo Hospitals,508869,APOLLOHOSP,Healthcare,3700.5,53207.51,61.89,26.8,,29.33,0.72,44,90.14,-40.45,3546.43,23.66,14.39,19.45,14.9,859.78,14662.64,15.09,15.11,773.14,62.43,45.31,15.08,14.61,8.02,10.15,16.78,10.91,38.87,22.5,7.34,38.85,10560,16.19,1140.3,1055.61,16.63,304.87,963.88,993,44.5,2739.18,14.39,12.31
Asahi Industries,514482,,Textiles - Cotton/Blended,5.37,35.68,,6.23,,48.5,,,-0.47,0,0,,-5.53,-4.68,,-1.9,0,,,39.68,20.23,,,,,,,66.25,17.62,,-4.73,,0,,-0.27,-2.71,,-6.97,0.16,-0.02,-0.02,-1.12,-5.53,-7.89
Asian Paints,500820,ASIANPAINT,Paints / Varnishes,2708.75,259822.7,84.32,76.12,,52.63,0.11,48.56,850.42,9.22,7892.67,18.66,32.55,29.73,16.51,3081.21,29101.28,14.79,14.08,-1.43,12.8,9.71,12.04,12.3,25.4,25.75,23.15,-8.37,23.86,18.68,14.48,34.03,21712.79,11.46,4855.6,3030.57,12.17,2617.49,487.83,3429.09,2492.41,6588.13,32.55,33.59
Astral,532830,ASTRAL,Plastics Products,1647.95,33110.64,68.44,29.86,20.13,55.73,0.04,22.35,141.4,-19.01,1390.6,23.3,27.5,29.99,17.15,483.8,4394,20.56,18.32,20.62,35.26,27.3,30.35,28.71,20.81,21.9,22.86,-14.83,27.12,33.72,16.19,38.34,3176.3,17.62,637.6,483.8,22.77,300.31,198.5,493,56.8,883.6,27.5,26.26
Astrazeneca Phar,506820,ASTRAZEN,Pharmaceuticals - Multinational,2938.45,7346.13,119.27,32.24,,75,0.02,38.91,27.98,2.57,231.96,10.32,25.88,17,10.7,61.59,805.6,3.42,8.18,-32.85,4.22,31.32,25.69,12.18,17.61,18.37,12.73,-22.27,16.09,26.17,7.55,-0.98,813.56,6.54,135.47,61.59,4.25,61.13,94.42,99.49,268.84,267.6,25.88,25.02
Atul Auto,531795,ATULAUTO,Automobiles - Scooters And 3 - Wheelers,170.8,374.79,,26.42,,52.7,0.68,22.48,-5.73,-11.26,94.84,4.03,3.12,-6.31,-5.16,-24.94,315.42,-22.08,-7.87,-204.89,,,,,9.25,2.34,-8.65,-13.03,-16.01,-16.47,-5.23,6.6,295.9,,-7.66,-24.94,,24.43,-178.6,1.3,6.16,-194.63,3.12,12.68
AU Small Finance,540611,AUBANK,Banks - Private Sector,603.05,38003.39,33.64,18.12,17.94,28.23,6.97,0,346.07,104.8,1667.03,28.99,8.82,8.42,53.16,1129.83,5921.73,26.16,35.85,-3.55,43.45,6.57,34.73,36.56,18.46,19.77,18.31,15.3,19.61,,2.19,19.63,4950.05,35.56,2695.93,1129.83,37.31,730.4,6567.97,4916.43,1411.66,12053.27,8.82,8.89
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,533.6,31265.68,11.38,23.78,,51.83,0.12,62.44,576.46,-8.33,5809.37,-3.2,16.52,12.99,18.57,2747.55,23455.49,6.23,9.49,-19.41,4.17,3.57,8.2,30.98,17.06,15.55,11.82,-47.16,-5.96,-2.57,8.16,-5.32,24774.62,9.91,5278.04,2648.15,17.65,2774.64,2692.78,1503.28,2560.68,7165.25,16.52,17.7
Avenue Super.,540376,DMART,Trading,3755.65,243281.5,163.01,278.5,,74.99,0.05,0.79,426.83,3.11,8786.45,18.55,15.87,15.75,8.07,1492.4,30976.27,15.69,21.09,35.81,18.6,25.77,32.3,37.86,13.18,11.8,11.54,18.27,42.04,36.11,10.25,28.3,24143.06,25.16,1744.83,1492.55,30.22,1114.18,-1017.15,-652.4,85.64,-2095.43,15.87,18.05
Axis Bank,532215,AXISBANK,Banks - Private Sector,660.7,202921.48,14.37,18.12,45.99,9.7,8.3,0,4417.73,50.19,18208.52,15.32,5.22,5.59,53.14,14119.29,68846.06,7.1,8.79,96.22,40.85,28.99,9.56,12.87,7.13,8.41,13.63,-10.53,-6.7,5.42,1.41,6.41,64696.42,9.82,29504.39,14119.29,12.09,5727.6,26735.58,11707.98,-34375.42,67782.27,5.22,5.19
Bajaj Auto,532977,BAJAJ-AUTO,Automobiles - Scooters And 3 - Wheelers,3881,112303.34,20.32,26.42,,53.76,0,16.7,1526.16,-17.35,7974.84,-7.23,26.07,23.86,15.84,5527.26,33144.71,2.97,8.79,13.88,5.92,6.25,8.44,5.86,21.02,20.65,19.35,-6.99,9.64,6.56,16.09,19.48,27741.08,6.31,4937.78,6165.87,5.4,4894.94,3679.53,2866,231.21,10115.97,26.07,27.6
Bajaj Consumer,533229,BAJAJCON,Personal Care - Indian,138.65,2045.64,12.06,31.47,,38.04,0,7.93,35.82,-34.49,218.24,-12.33,33.68,26.4,19.76,169.64,879.96,-1.42,2.01,-22.81,-9.23,-5.22,-2.66,3.76,33.39,27.96,21.66,-53.16,-25.47,-18.05,18.59,-4.54,921.81,1.06,243.45,169.64,6.52,201.83,118.08,234.69,-3.35,526.05,33.68,40.82
Bajaj Electrical,500031,BAJAJELEC,Domestic Appliances,960.9,11038.25,82.5,50.18,16.64,62.97,0.05,86.42,39.35,-26.82,1334.32,6.03,10.4,12.63,5.2,133.79,4813.01,-10.27,2.5,-23.67,-4.54,5.73,,,9.13,6.95,8.08,-8.52,24.7,23.1,3.24,5,4583.83,,303.18,128.52,,113.53,871.22,637.68,-56,2105.53,10.4,12.97
Bajaj Finance,500034,BAJFINANCE,Finance & Investments,5667.5,343127.02,48.82,25.9,73.35,55.86,3.78,14.61,2419.51,79.67,8626.57,25.92,10.43,10.2,62.05,7028.23,31632.42,19.61,25.98,58.84,20.74,30.79,34.17,,17.66,16.56,17.43,-7.39,17.36,32.94,3.66,18.62,26668.1,28.76,15828.78,7028.23,,4641.55,-37643.68,-1179.05,516.65,-63735.09,10.43,10.94
Bajaj Healthcare,539872,BAJAJHCARE,Pharmaceuticals - Indian - Bulk Drugs & Formln,308.85,852.38,11.94,23.78,30.11,67.26,0.78,99.05,17.47,-17.9,175.71,32.93,24.61,19.97,17.43,71.39,679.89,22.47,24.14,-14.09,63.21,55.51,37.95,59.98,23.67,27.02,24.33,-11.34,41.94,33.13,11.45,3.49,656.98,17.62,136.38,71.39,17,42.26,-73.5,-70.04,10.08,-145.56,24.61,22.38
Bajaj Holdings,500490,BAJAJHLDNG,Finance & Investments,5001.95,55666.7,13.73,25.9,,51.09,0,8.52,1105.39,16.48,89.46,-3.28,11.3,10.54,72.67,4055.68,429.69,-0.12,-12.6,11.12,9.98,10.4,10.4,9.13,11.13,10.72,10.14,41.87,10.15,18.64,8.33,-6.01,457.18,-2.79,351.67,4055.68,3.82,3280.13,1608.32,270.68,-72.89,3795.16,11.3,11.66
Balkrishna Inds,502355,BALKRISIND,Tyres,2197.7,42485.32,29.6,25,,58.29,0.36,48.23,374.84,-1.34,2374.21,35.4,22.06,24.19,24.22,1435.38,8295.12,16.77,17.38,23.39,24.03,17.4,17.21,18.26,19.57,20.37,22.2,-1.97,40.27,22.89,14.99,43.44,5783.19,11.74,1811.49,1435.38,10.66,977.76,-680.9,415.85,8.1,125.05,22.06,22.08
Bandhan Bank,541153,BANDHANBNK,Banks - Private Sector,323.6,52124.82,414.38,18.12,0.78,39.99,5.45,0,1902.34,1746.39,3871.57,29.02,7.66,4.71,17.76,125.79,13871.12,27.81,28.83,-94.29,-59.9,-35.33,,,13.49,11.41,0.72,1.31,-16.45,,0.11,10.75,12524.21,,5903.52,125.79,,1730.17,691.23,-1164.45,-2159.98,6007.59,7.66,8.32
Barbeque-Nation,543283,BARBEQUE,Hotels,991.2,3859.81,,53.64,-6.58,34.45,1.58,2.43,-0.06,-92.25,251.02,10.9,1.65,3.76,15.54,-25.68,860.55,5.21,11.32,72.2,8.77,,,,-29.06,-39.9,-9.68,20.07,,,-2.25,69.71,507.08,,46.49,-25.6,,-40.31,-33.41,53.61,230.8,117.26,1.65,4.04
BASF India,500042,BASF,Chemicals,2520.6,10911.68,18.65,23.06,,73.33,0.05,73.04,149.85,134.62,3389.56,20.81,20.85,33.77,6.96,585.01,13099.73,29.54,20.89,103.08,168.42,85.27,34.85,19.23,13.43,18.78,28.38,0.27,21.51,11.62,10.4,37.05,9558.34,15.75,632.84,594.84,14.06,201.63,206.23,416.59,73.16,1138.43,20.85,14.48
Bata India,500043,BATAINDIA,Leather / Leather Products,1736.95,22324.59,216.76,57.34,,52.96,0.6,10.96,62.96,113.64,665.25,12.77,10.29,8.16,17.53,102.99,2387.72,-6.61,-0.71,224.84,-32.19,-10.15,-9.75,-4,10.71,6.47,5.77,6.36,6.71,25.86,3,39.76,1708.48,-1.71,168.95,102.99,4.42,180.69,163.79,425.35,39.28,1085.11,10.29,15.07
Berger Paints,509480,BERGEPAINT,Paints / Varnishes,580.75,56411.11,67.74,76.12,8.57,74.99,0.26,43.89,220.66,5.61,2187.51,7.97,26.97,26.21,15.19,832.82,8761.78,13.07,13.99,16.51,19.75,14.35,18.03,16.56,23,23.77,22.8,-27.96,20.67,18.22,12.69,28.52,6817.59,11.19,1182.37,832.82,11.9,625.19,-193.08,611,57.3,711.59,26.97,27.33
Bharat Forge,500493,BHARATFORG,Castings & Forgings,676.6,31501.73,31.24,18.98,,45.25,0.91,75.45,235.72,15.13,3573.09,71.55,7.82,12.47,18.96,1008.28,10461.08,1.03,10.34,356.94,-0.3,10.49,4.77,9.42,13.19,9.65,16.83,-9.53,13.07,2.94,7.03,65.1,6336.26,4.63,832.01,1081.76,5.24,685.76,-458.78,129.47,134.7,235.5,7.82,11.65
Bharat Rasayan,590021,BHARATRAS,Pesticides / Agrochemicals - Indian,11180.9,4645.96,25.8,23.65,387.11,75.05,0.22,130.08,64.54,38.3,444.78,64.85,30.83,28.36,19.59,180.1,1301.15,9.56,16.04,8.87,16.88,26.91,28.14,33.32,28.78,26.86,24.02,-12.4,39.52,30.22,18.01,19.23,1091.27,16.84,240.25,177.13,24.8,143.08,-120.88,159.6,-18.93,242.85,30.83,32
Bharti Airtel,532454,BHARTIARTL,Telecommunications - Service Provider,673.35,381644.9,103.82,28.31,,55.93,2.55,12.7,2007.8,170.54,31500.3,22.34,9.94,11.97,49.37,3675.93,116546.9,13,4.07,167.7,156.2,-3.38,-2.91,-1.23,2.13,2.85,5.86,26.84,23.99,15.39,2.03,15.83,100615.8,2.79,45278.9,4254.9,5.01,1462.65,28995.8,21091.1,-3990.9,47630.5,9.94,8.3
Biocon,532523,BIOCON,Pharmaceuticals - Indian - Bulk Drugs & Formln,339,40700.34,56.4,23.78,6.17,60.64,0.61,91.79,238.6,9.28,2408.8,30.76,10.59,9.05,21.55,721.68,8184,14.07,16.03,-1.24,-0.94,3.44,8.22,7.87,10.02,9.96,8.99,-18.31,9.54,14.45,4.42,15.17,7105.8,14.93,1580.7,648.4,14.64,645.96,-746.1,-577,72.3,-1869.4,10.59,10.72
Birla Corpn.,500335,BIRLACORPN,Cement - North India,859.9,6622.09,15.7,17.99,51.76,62.9,0.72,14.81,111.08,-53.43,2264.21,6.17,10.58,8.16,14.88,421.89,7461.22,4.44,11.41,-38.73,19.07,20.26,18.49,6.56,8.56,10.42,7.32,-30.75,10.8,-1.21,3.15,9.96,6785.45,12.81,1351.55,398.59,12.55,406.53,262.91,525.61,45.05,1143.75,10.58,9.43
Birlasoft Ltd,532400,BSOFT,Computers - Software - Medium / Small,357.3,9994.52,21.55,26.37,16.59,40.4,0.05,60.19,132.9,34.27,1101.44,21.99,21.92,25.12,15.5,463.74,4130.35,17.43,4.46,44.65,20.16,16.29,11.22,12.3,15.73,16.12,19.47,-11.21,57.79,37.33,14.54,16.16,3555.72,4.72,529.28,463.64,10.66,304.62,218.94,533.21,16.53,1010.2,21.92,19.88
Blue Dart Expres,526612,BLUEDART,Couriers,7208.4,17105.53,41.87,25.15,,75,1.22,48,136.97,52.19,1165.91,20.41,28,40.65,22.67,408.52,4410.49,11.59,10.4,252.57,65.45,23.88,17.85,12.63,27.97,30.97,55.81,20.89,38.71,10.52,14.27,34.13,3288.13,9.94,686.29,382.21,11.42,159.04,689.33,589.75,-14,1445.71,28,25.91
Blue Star,500067,BLUESTARCO,Air-conditioners,957.8,9224.94,55.01,40.09,,38.78,0.54,71.83,76.16,12.05,2247.58,39.47,17.27,20.04,5.73,167.71,6045.58,4.92,6.63,124.51,-3.93,6.44,8.42,13.66,16.99,14.82,17.63,16.27,6.32,8.6,4.27,41.8,4263.59,9.6,239.81,167.71,7.92,143.4,-126.14,367.17,41.78,609.57,17.27,19.25
Bodal Chemicals,524370,BODALCHEM,Dyes And Pigments,94.55,1158.06,10.37,21.44,3.43,58.94,0.55,87.19,30.87,32.66,597.3,38.03,9.83,12.44,10.71,111.71,2050.62,12.94,10.7,180.61,-7.15,-2.92,2.84,17.99,12.16,8.47,11,-14.47,-5.16,-10.04,5.78,67.2,1226.43,10.14,86.74,107.67,12.82,99.73,-169.85,-191.15,-2.55,-403.54,9.83,14.46
Borosil Renew.,502219,BORORENEW,Glass & Glass Products,637.95,8318.62,50.16,28.76,12.72,61.69,0.2,33.74,46.38,-30.64,179.05,-7.7,22.12,27.22,37.95,165.85,644.22,43.78,19.26,85,52.45,32.03,28.18,23.1,12.03,17.08,23.71,128.86,135.83,61.29,18.04,28.26,502.27,20.44,197.38,165.85,17.73,69.1,-199.68,134.26,1.36,-143.89,22.12,15.91
Britannia Inds.,500825,BRITANNIA,Food - Processing - MNC,3360.85,80952.22,53.4,54.08,,50.55,0.97,8.57,379.87,4.97,3550.45,13.41,41.54,41.51,15.57,1516,14136.26,8.54,9.32,-18.09,9.49,11.38,15.22,23.71,38.01,42.03,49.66,-5.54,3.89,13.13,19.54,7.61,13136.14,8.75,2509.29,1524.82,9.93,1386.34,752.5,1637.18,66.19,3630.77,41.54,42.82
Camlin Fine,532834,CAMLINFINE,Chemicals,112.8,1771.39,29.34,23.06,3.87,17.56,0.86,77.46,15.13,-6.59,389.23,19.17,12,10.21,10.81,60.37,1412.09,16.54,21.47,18.5,370.4,73.22,1.51,34.57,5.35,9.11,8.97,-35.67,33.09,5.64,3.69,18.95,1187.1,14.18,186.89,60.68,15.46,23.56,-68.34,33.58,23.15,-82.74,12,9.58
CCL Products,519600,CCL,Tea,360.05,4789.67,23.44,12.51,,46.26,0.45,79.78,52.7,7.11,376.23,13.47,16.88,16.06,22.64,204.35,1462.03,10.57,8.41,12.12,9.68,8.72,11.74,18.89,18.87,18.06,17.48,1.08,11.58,4.99,10.59,17.67,1242.48,7.51,297.75,204.35,11.28,171.12,-89.19,16.22,81.82,-70.91,16.88,18.06
Century Plyboard,532548,CENTURYPLY,Miscellaneous,559.15,12422.8,39.68,23.2,,73.04,0.15,42.5,88.55,2.2,901.05,20.95,21.76,29.73,17.54,313.06,3027.02,9.9,10.73,57.86,27.73,10.45,11.27,8.7,17.79,17.47,22.17,33.51,50.8,12.81,15.5,42.09,2130.36,9.65,335.51,313.06,6.15,189.33,18.58,316.99,4.44,712.19,21.76,20.15
CESC,500084,CESC,Power Generation And Supply,78.05,10346.08,7.61,37.31,10.04,52.11,1.44,60.96,424,0.24,3011,4.19,13.01,12.36,23.25,1359,12544,5.56,8.45,3.11,4.65,15.32,31.9,19.15,12.74,13.52,13.41,1.83,0.91,2.02,3.83,7.78,11638.61,1.81,3300.24,1359,7.85,1202.64,1729,2144.1,-422.81,6368.12,13.01,12.88
Cholaman.Inv.&Fn,511243,CHOLAFIN,Finance & Investments,650.35,53406.92,24.8,25.9,26.23,51.55,5.88,2.57,686.74,180.15,2605.07,5.07,9.74,9.33,71.09,2153.51,10140.75,12.57,16.66,41.57,21.63,24.57,25.29,30.41,18.41,17.65,20.16,15.66,29.94,25.55,2.74,5.82,9583.31,15.43,6725.81,2153.51,18.98,1368.59,-5665.32,-8873.34,-1898.36,-16683.91,9.74,10.12
